czone,year,dem_votes,rep_votes,turnout,dem_share,rep_share,population,mean_age,share_age_18_34,share_age_65_plus,share_college,share_no_hs,median_wage,mean_wage,share_white,share_black,share_hispanic
100,2012,63795.0,167271.0,235094,0.2760899483264522,0.7239100516735478,700404.781385541,38.95471145154191,0.21241110037640418,0.15667531100508195,0.1547105824380335,0.34346559085472195,26334.0,35903.89037997005,0.8791271026234175,0.06378838654376892,0.06944533035384774
100,2016,49674.0,181219.0,240533,0.21513861399003,0.78486138600997,1824914.5138093233,42.01277345468403,0.1974333243016787,0.19758328603212152,0.15582853915813846,0.3033874718947512,25700.0,34363.680603837434,0.946060159146264,0.024946423162325197,0.02305555630037396
100,2020,51336.0,165151.0,220270,0.237132021784218,0.762867978215782,609849.7348492444,42.67012697128603,0.20084321658649043,0.2120999253039747,0.16703095252808586,0.2852088051113646,29567.0,38894.452940865114,0.9367644384397215,0.026157591097540945,0.02558320420571098
302,2012,100062.0,213102.0,318996,0.31951948499827565,0.6804805150017244,1065036.468663016,38.205672510868276,0.22887946780152238,0.14071258261903288,0.18889224743624616,0.32448462600681244,28593.0,39442.88163104964,0.7968527331832413,0.119261219162293,0.09679224605435124
302,2016,98061.0,216276.0,333330,0.3119613663043167,0.6880386336956833,2523609.286129206,39.94021525516333,0.22428943203626361,0.17113416956066188,0.20426062817390225,0.2932625523997722,30000.0,38911.98147852996,0.8944810708371221,0.05914923748916716,0.03448422891276714
302,2020,138943.0,262100.0,409283,0.3464541208798059,0.6535458791201941,863011.7327535005,40.30500332020297,0.22659417602682658,0.18084663508026758,0.21969191094766402,0.2788358153684327,32986.0,45312.65002380474,0.8864672161976245,0.0576744515054112,0.03962247413091211
401,2012,117145.0,142193.0,262641,0.4517078098851692,0.5482921901148309,430837.4230529389,38.41093825655053,0.19923924853916833,0.14356043412739472,0.19010088410216677,0.3460852362397552,27572.0,40176.35000201347,0.7400276777422102,0.1959039593300357,0.08747384435236037
401,2016,115047.0,146244.0,272438,0.4403021918091323,0.5596978081908677,1710115.2164072972,39.27239712146755,0.21058304830273378,0.16277575922703877,0.19039190292205832,0.3268479469225637,28000.0,39129.88496618999,0.7393513074137373,0.19384406999196704,0.1081302966606239
500,2012,255412.0,295349.0,557222,0.4637438017579313,0.5362561982420687,1156324.0674526503,37.68242566252868,0.22796510788892102,0.1378116324740255,0.16157125234387948,0.3477474632173908,27800.0,36090.74390644687,0.665793731904162,0.261735558064013,0.07547724983566204
500,2016,249662.0,302337.0,571891,0.45228705124465807,0.5477129487553419,3608735.0012922366,39.331535175115164,0.21410284166812815,0.1606130572373992,0.17524540267037123,0.3249833947148793,30000.0,37233.13249816205,0.6815658151689252,0.23397322062804496,0.08049291768777095
700,2012,58501.0,93103.0,153609,0.3858803197804807,0.6141196802195192,364325.4436091865,37.944908124208,0.213560507860417,0.14115726595455003,0.1316690352821831,0.3714101447783538,26334.0,32784.219028745654,0.7214712971516374,0.21738118059990102,0.054050786553403195
700,2016,54553.0,105273.0,165875,0.34132744359490946,0.6586725564050905,1199096.3078691151,38.79160504549295,0.21907602435018103,0.15954029716297372,0.1481995318945182,0.34338606243766034,28850.0,35218.49376090089,0.7246048634154811,0.22022941983353714,0.05710332742877311
800,2012,70631.0,126152.0,199300,0.3589283627142589,0.6410716372857411,170794.39375999337,40.046841622732586,0.19099215125706806,0.15704507144131577,0.13170023617051266,0.3502117873414841,26551.0,33027.18588232904,0.833472571864727,0.11315559844930403,0.05292631702956513
800,2016,63550.0,140954.0,211434,0.3107518679341235,0.6892481320658764,1377764.0508859102,40.28377744108192,0.200823885281399,0.17266457919010897,0.14332166378857264,0.3313722099480957,30000.0,36541.33984611527,0.8056392833670478,0.13549679935744655,0.0575923073881538
900,2012,436125.0,430423.0,877240,0.5032900658705577,0.49670993412944237,1686636.543462319,36.439986076809774,0.2289742096720545,0.11730146721676933,0.17776063277284687,0.3560609815361255,28593.0,39751.95020542191,0.6460631419708023,0.2684820337184377,0.090812230251947
900,2016,458757.0,443062.0,944174,0.5087018570245249,0.49129814297547514,6110081.954744125,36.74612227447132,0.2296271993217345,0.12210390845387718,0.24516487425807185,0.3242184495819414,32000.0,47576.3174463192,0.6486923429641305,0.24926800822724127,0.10203783222582476
1100,2012,65654.0,129319.0,197894,0.33673380416775656,0.6632661958322434,384292.41587753466,38.79287168843094,0.21766601082159726,0.14264789375424003,0.19891068416708352,0.3297084633068193,29500.0,39306.7045513953,0.8283515381180454,0.0986640398079873,0.07854295957113228
1100,2016,58142.0,143592.0,209509,0.28821120881953466,0.7117887911804653,1317365.3341459592,39.88569808154106,0.19517923310871613,0.16630369904324357,0.15479256945130446,0.3340351407152503,30000.0,38417.77682198275,0.823977672748598,0.09148112662648432,0.07462339323095528
1203,2012,112410.0,118366.0,234938,0.4870957118591188,0.5129042881408812,478187.0590938162,38.98850777743271,0.21510270260773118,0.1552947035611301,0.16519706936478923,0.35037891343665695,27000.0,33994.276473079946,0.7429121577114786,0.189167661094434,0.07767760046073605
1203,2016,116236.0,127757.0,256988,0.476390716127102,0.523609283872898,1446096.4684381967,42.742686199664334,0.1973331495611445,0.21278054591682702,0.24399274217568878,0.26692355787834654,27600.0,36321.391579029565,0.8939806078166562,0.050135571720716234,0.0668149465671975
1302,2012,125665.0,147463.0,275955,0.4600956328168478,0.5399043671831523,435839.7720667981,38.91546920905172,0.21433671045606806,0.15990168759826265,0.15736994314902875,0.3390969202341387,26334.0,34631.33574601631,0.6857288824345565,0.2584175018603667,0.05196841382519207
1302,2016,117674.0,167184.0,293210,0.41309705186443774,0.5869029481355623,2028674.9317154647,41.02150361243017,0.20407669536750034,0.1926923984639553,0.15525952691451841,0.30965581068213205,25000.0,33518.842435403145,0.6615315913255406,0.294193076143934,0.04218762912060502
1400,2012,150186.0,126057.0,278895,0.5436735048489917,0.45632649515100837,361202.612084005,34.9289692881239,0.2566822335748425,0.11120420412021541,0.12923008579239337,0.36305391029428524,27000.0,34061.109883152494,0.5375654595939455,0.3108892744383257,0.08976801724592111
1400,2016,136646.0,134046.0,280082,0.5048025061693733,0.49519749383062667,2149078.3020266443,36.696197446232034,0.24836271829712264,0.13834121300219893,0.14785927568088195,0.34683463726978814,27400.0,34608.200186713344,0.5219202718356535,0.3067232304373224,0.09574379535585877
1500,2012,99450.0,123434.0,225717,0.44619622763410566,0.5538037723658944,453731.6382896602,38.831121274379825,0.2394319680984135,0.15329036891267234,0.17135108846768338,0.32088399689294894,25530.0,32793.96881919537,0.6914659547741681,0.25634971482431795,0.051017594481963836
1500,2016,99736.0,138525.0,247770,0.41859977083954153,0.5814002291604585,1470866.6007360518,41.62696635493734,0.2132574321329488,0.19901250493886036,0.21479776921107652,0.27094132701872536,29800.0,39454.17817493239,0.7666471746687076,0.16669593497083782,0.055426037170013084
1701,2012,541622.0,408223.0,963468,0.5702214571851196,0.4297785428148803,2262066.0588160874,36.51195544592482,0.22954281318068706,0.11918102371485485,0.19293721848377118,0.35615836633614084,29494.0,40302.70154361635,0.6806237756568404,0.22916722338366852,0.0837790929617133
1701,2016,594158.0,396936.0,1040341,0.5994971213628576,0.4005028786371424,6189489.73090669,36.65786462193897,0.24028128079040584,0.11992747132168351,0.294581607351406,0.31220959461272413,34000.0,48390.378584661965,0.6606253489808726,0.2260083384165245,0.10935078591309075
1800,2012,43913.0,53479.0,98118,0.45088919007721373,0.5491108099227863,437139.9904580116,39.802710668232,0.21307680409228516,0.1622901716471936,0.17739307654746925,0.32459139283460137,26334.0,34786.8795700695,0.7153957586526735,0.20119931852707862,0.07297820282430398
1800,2016,40600.0,54595.0,97473,0.4264929880771049,0.5735070119228951,742144.1085166931,38.28401500961051,0.2150833847300501,0.1553027708594296,0.10830584851244787,0.3872394908551663,25000.0,30332.38258306839,0.6402072456347588,0.28211708521486634,0.15732767775290898
1900,2012,112122.0,145439.0,260292,0.4353221178672237,0.5646778821327764,788839.7305159435,36.01668104236899,0.272308249971377,0.12387349034004246,0.1452596929698696,0.3314978593613215,26551.0,33963.66858023134,0.669497109297988,0.24379365674623626,0.08314653811989388
1900,2016,107659.0,152332.0,269351,0.4140874107180633,0.5859125892819367,1918929.9800278582,36.32905220864846,0.294133667127006,0.1411515426446833,0.15594684712601217,0.3047685650090777,26000.0,33553.85804425691,0.6616588686635941,0.25680588221700634,0.08341535742156185
2000,2012,293259.0,235531.0,536265,0.5545849959341137,0.44541500406588624,1252683.5271124158,37.168715284944504,0.23571955046070733,0.13176599592700966,0.16955451220202566,0.3290694078093178,29494.0,38290.57844105424,0.7593039781558707,0.16010869222533677,0.07097000775218704
2000,2016,272957.0,236578.0,540254,0.5356982346649396,0.4643017653350604,3692505.081122458,37.10267982465546,0.2697519052319226,0.12936954453105567,0.20016188211922026,0.2886379742822201,32000.0,41527.779183314866,0.5968021981255889,0.3038502153778834,0.0635733954888279
2400,2012,323078.0,290307.0,622012,0.5267132388304246,0.4732867611695754,1190205.4844680019,37.65153536602199,0.2256637008621543,0.13125244139834608,0.19398625072134287,0.32150251351303216,30000.0,39607.330591211314,0.7587228711989384,0.1656627701431064,0.07466522424865255
