respondent_id,interview_date,treatment,govt_intervention,supports_intervention,fx_status,age,female,ed_level,urban_rural,survey_weight,income_quintile,left_right
1,2015-10-07,history,big,1,none,25,1,4,2,0.914893672836381,4,0
2,2015-10-07,cntrl,some,1,none,50,1,4,3,0.85796123133461,5,3
3,2015-10-07,Hungary,some,1,none,48,1,4,3,0.724470487543359,1,1
4,2015-10-07,info,some,1,none,81,1,1,3,1.33357916718645,5,2
5,2015-10-07,Hungary,some,1,none,61,1,2,1,0.686466841123477,1,NA
6,2015-10-07,info,some,1,none,57,1,2,1,0.686466841123477,NA,0
7,2015-10-07,cntrl,none,0,none,70,1,4,3,0.797062947189988,5,1
8,2015-10-07,Hungary,none,0,past,56,1,4,3,0.75369474164889,5,-1
9,2015-10-07,cntrl,some,1,none,44,1,4,2,0.776249819470557,3,0
10,2015-10-08,cntrl,none,0,none,66,1,2,3,0.85523198564313,NA,0
11,2015-10-08,history,some,1,none,74,0,2,3,0.779270907327552,4,1
12,2015-10-08,info,none,0,none,35,0,2,3,0.924748817457248,1,0
13,2015-10-08,info,big,1,none,34,0,4,3,1.39506827425596,NA,0
14,2015-10-08,cntrl,big,1,none,79,1,1,1,1.14206333508728,2,NA
15,2015-10-08,cntrl,big,1,none,62,0,2,1,0.653744499939362,4,1
16,2015-10-08,history,big,1,none,62,1,1,1,0.883709100290973,1,-2
17,2015-10-08,info,none,0,none,45,0,2,1,0.740429276810364,3,1
18,2015-10-08,history,some,1,none,58,0,2,3,0.747072503229124,5,NA
19,2015-10-08,info,big,1,none,31,1,4,1,1.34752075553564,2,0
20,2015-10-08,info,some,1,none,72,0,4,3,0.678729821058091,NA,NA
21,2015-10-08,history,DK,0,none,41,1,3,3,1.1450112239754,NA,NA
22,2015-10-08,history,big,1,none,24,1,4,1,0.562192202652259,1,NA
23,2015-10-08,info,some,1,none,59,1,3,2,0.763298167452057,5,0
24,2015-10-08,info,big,1,none,75,0,2,2,0.996380365317924,4,0
25,2015-10-08,cntrl,none,0,none,35,1,2,1,0.598887963855451,1,-3
26,2015-10-08,history,some,1,none,21,1,3,1,0.684043411549415,5,-1
27,2015-10-08,history,DK,0,none,51,1,3,2,0.789477135831935,3,0
28,2015-10-08,cntrl,none,0,none,56,0,2,2,0.632755692508982,NA,0
29,2015-10-08,info,none,0,none,59,0,1,2,1.1206049422012,2,3
30,2015-10-08,history,some,1,none,35,1,2,2,1.45680656451636,1,0
31,2015-10-08,history,DK,0,none,71,1,1,2,1.02734445392603,NA,3
32,2015-10-08,Hungary,none,0,none,50,0,2,1,1.49248584323862,NA,0
33,2015-10-08,info,some,1,none,47,1,2,1,1.01815777645895,1,-1
34,2015-10-08,Hungary,some,1,none,69,1,4,1,0.699157332061297,4,-3
35,2015-10-08,cntrl,DK,0,none,65,1,3,2,1.23734556693174,5,-1
36,2015-10-08,cntrl,DK,0,none,21,0,1,2,2.54022117022307,3,NA
37,2015-10-08,Hungary,none,0,none,78,0,4,2,1.42733066003904,3,-2
38,2015-10-08,cntrl,big,1,none,60,0,2,3,0.736870766911637,4,3
39,2015-10-08,history,big,1,none,38,1,2,3,0.964158449929868,1,NA
40,2015-10-08,history,big,1,none,51,0,2,3,0.745568216388763,4,-1
41,2015-10-08,cntrl,none,0,none,31,1,2,3,1.55265813670336,NA,3
42,2015-10-08,cntrl,DK,0,none,62,0,1,3,1.37860530925531,2,-1
43,2015-10-08,info,none,0,current,42,0,4,2,0.926789047463964,5,0
44,2015-10-08,history,some,1,none,62,1,1,2,1.13173400082585,1,NA
45,2015-10-08,Hungary,none,0,none,56,0,2,2,0.704988044911817,4,1
46,2015-10-08,Hungary,DK,0,none,64,1,2,2,0.543014721522279,5,3
47,2015-10-08,history,some,1,none,74,0,3,2,0.66243356132898,4,3
48,2015-10-08,Hungary,none,0,none,73,1,3,2,0.574260228162407,4,-3
49,2015-10-08,Hungary,big,1,none,80,1,3,2,0.574260228162407,5,-1
50,2015-10-08,Hungary,some,1,none,48,1,2,2,1.06323775050426,1,NA
51,2015-10-08,info,some,1,past,56,0,2,1,0.550486554641191,5,1
52,2015-10-08,history,none,0,none,39,1,2,1,0.598887963855451,5,3
53,2015-10-08,Hungary,big,1,none,57,1,3,1,0.445977460654622,NA,NA
54,2015-10-08,Hungary,none,0,none,41,1,3,1,0.559687190579516,1,NA
55,2015-10-08,history,none,0,none,59,0,2,1,0.69953309462915,3,3
56,2015-10-08,info,none,0,none,61,0,4,3,0.869418893004376,5,2
57,2015-10-08,Hungary,none,0,none,73,0,4,3,0.919445959891745,NA,NA
58,2015-10-08,info,some,1,current,30,1,4,3,1.52686217922142,NA,0
59,2015-10-08,history,some,1,none,39,0,2,3,1.11219771864794,3,NA
60,2015-10-08,info,some,1,none,32,1,2,3,1.20937747155975,4,NA
61,2015-10-08,info,some,1,none,35,1,1,3,1.78543733176675,NA,NA
62,2015-10-08,history,big,1,none,53,0,2,2,1.22648989963965,5,0
63,2015-10-08,info,some,1,none,62,1,1,2,1.07653450337841,3,-1
64,2015-10-08,history,some,1,none,78,0,4,3,0.730771563579266,5,3
65,2015-10-08,history,big,1,past,57,0,2,2,0.76630009413114,5,3
66,2015-10-08,info,DK,0,none,68,0,2,2,0.757348547399936,1,NA
67,2015-10-08,Hungary,none,0,none,31,1,4,2,1.17213628737803,5,-2
68,2015-10-08,info,none,0,current,52,1,3,3,0.937754567434888,5,-1
69,2015-10-08,Hungary,DK,0,none,76,1,4,3,0.689047623865915,4,NA
70,2015-10-08,Hungary,big,1,none,38,1,2,1,0.815358657303597,NA,0
71,2015-10-08,info,none,0,none,48,0,2,1,0.896868326009696,NA,3
72,2015-10-08,Hungary,some,1,none,65,1,3,1,0.533893867380759,NA,0
73,2015-10-08,cntrl,some,1,none,45,0,2,1,0.896868326009696,NA,1
74,2015-10-08,history,some,1,none,66,1,2,2,0.574551115454091,5,-3
75,2015-10-08,history,none,0,none,49,1,2,2,0.707434161470225,3,NA
76,2015-10-08,cntrl,none,0,none,78,1,2,3,0.85523198564313,5,3
77,2015-10-08,info,big,1,none,58,1,4,3,0.75369474164889,5,0
78,2015-10-08,Hungary,none,0,none,54,1,2,3,1.11819732523545,NA,-1
79,2015-10-08,cntrl,some,1,none,79,1,3,3,0.646572085408425,3,2
80,2015-10-08,history,DK,0,none,50,0,2,3,1.08615224731789,NA,0
81,2015-10-08,Hungary,DK,0,none,25,1,3,3,1.23858029887209,NA,NA
82,2015-10-08,info,some,1,none,61,1,1,3,1.21147995389998,NA,NA
83,2015-10-08,history,none,0,none,62,0,2,2,0.636554719453869,5,-3
