state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
ALABAMA,BALDWIN,2024,AL,01003,US PRESIDENT,OTHER,OTHER,1276.0,122249,20260225,TOTAL
ALABAMA,BALDWIN,2024,AL,01003,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,95798.0,122249,20260225,TOTAL
ALABAMA,BALDWIN,2024,AL,01003,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,24934.0,122249,20260225,TOTAL
ALABAMA,BALDWIN,2024,AL,01003,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,241.0,122249,20260225,TOTAL
ALABAMA,CALHOUN,2024,AL,01015,US PRESIDENT,OTHER,OTHER,480.0,48653,20260225,TOTAL
ALABAMA,CALHOUN,2024,AL,01015,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,67.0,48653,20260225,TOTAL
ALABAMA,CALHOUN,2024,AL,01015,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,13194.0,48653,20260225,TOTAL
ALABAMA,CALHOUN,2024,AL,01015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,34912.0,48653,20260225,TOTAL
ALABAMA,ETOWAH,2024,AL,01055,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,10027.0,46137,20260225,TOTAL
ALABAMA,ETOWAH,2024,AL,01055,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,35653.0,46137,20260225,TOTAL
ALABAMA,ETOWAH,2024,AL,01055,US PRESIDENT,OTHER,OTHER,382.0,46137,20260225,TOTAL
ALABAMA,ETOWAH,2024,AL,01055,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,75.0,46137,20260225,TOTAL
ALABAMA,JEFFERSON,2024,AL,01073,US PRESIDENT,OTHER,OTHER,4738.0,298704,20260225,TOTAL
ALABAMA,JEFFERSON,2024,AL,01073,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,131123.0,298704,20260225,TOTAL
ALABAMA,JEFFERSON,2024,AL,01073,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,731.0,298704,20260225,TOTAL
ALABAMA,JEFFERSON,2024,AL,01073,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,162112.0,298704,20260225,TOTAL
ALABAMA,LEE,2024,AL,01081,US PRESIDENT,OTHER,OTHER,1059.0,73127,20260225,TOTAL
ALABAMA,LEE,2024,AL,01081,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,46020.0,73127,20260225,TOTAL
ALABAMA,LEE,2024,AL,01081,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,25798.0,73127,20260225,TOTAL
ALABAMA,LEE,2024,AL,01081,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,250.0,73127,20260225,TOTAL
ALABAMA,LIMESTONE,2024,AL,01083,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,173.0,53332,20260225,TOTAL
ALABAMA,LIMESTONE,2024,AL,01083,US PRESIDENT,OTHER,OTHER,691.0,53332,20260225,TOTAL
ALABAMA,LIMESTONE,2024,AL,01083,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,37887.0,53332,20260225,TOTAL
ALABAMA,LIMESTONE,2024,AL,01083,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,14581.0,53332,20260225,TOTAL
ALABAMA,MOBILE,2024,AL,01097,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,100759.0,175164,20260225,TOTAL
ALABAMA,MOBILE,2024,AL,01097,US PRESIDENT,OTHER,OTHER,2016.0,175164,20260225,TOTAL
ALABAMA,MOBILE,2024,AL,01097,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,334.0,175164,20260225,TOTAL
ALABAMA,MOBILE,2024,AL,01097,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,72055.0,175164,20260225,TOTAL
ALABAMA,SHELBY,2024,AL,01117,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,79666.0,114698,20260225,TOTAL
ALABAMA,SHELBY,2024,AL,01117,US PRESIDENT,OTHER,OTHER,1619.0,114698,20260225,TOTAL
ALABAMA,SHELBY,2024,AL,01117,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,33087.0,114698,20260225,TOTAL
ALABAMA,SHELBY,2024,AL,01117,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,326.0,114698,20260225,TOTAL
ALABAMA,TUSCALOOSA,2024,AL,01125,US PRESIDENT,OTHER,OTHER,966.0,85256,20260225,TOTAL
