respondent_id,income_quintile,left_right
299,5.0,-2.0
3748,3.0,
140,5.0,-1.0
946,1.0,3.0
3043,1.0,3.0
1772,,0.0
3423,2.0,2.0
3236,1.0,
728,5.0,-1.0
1979,2.0,0.0
3278,,0.0
1622,4.0,0.0
64,5.0,3.0
464,2.0,
1733,3.0,0.0
1507,2.0,
1094,,1.0
1911,,3.0
3588,3.0,3.0
1432,5.0,0.0
757,4.0,0.0
1437,,
1787,5.0,1.0
271,4.0,0.0
927,4.0,
3415,1.0,
3629,,
3850,1.0,
3553,3.0,
179,2.0,-1.0
193,1.0,3.0
3063,,1.0
1158,4.0,0.0
3558,4.0,
1382,2.0,
458,1.0,
1107,5.0,1.0
1091,4.0,2.0
3196,3.0,-3.0
332,,3.0
1188,4.0,
1240,3.0,2.0
680,,
52,5.0,3.0
1939,3.0,-1.0
843,,2.0
45,4.0,1.0
806,3.0,2.0
1557,3.0,-1.0
840,3.0,
1978,5.0,0.0
1323,1.0,3.0
3870,3.0,
189,4.0,0.0
247,4.0,
3852,1.0,0.0
1833,2.0,0.0
3245,3.0,0.0
2010,,-1.0
1707,,0.0
1703,,2.0
1289,4.0,0.0
103,1.0,-1.0
1024,5.0,1.0
417,1.0,0.0
1006,5.0,-2.0
3418,5.0,
1503,5.0,1.0
3664,1.0,0.0
3662,1.0,-1.0
558,3.0,-2.0
545,2.0,2.0
3791,,1.0
507,4.0,3.0
3606,,3.0
292,1.0,2.0
1443,5.0,-2.0
3822,3.0,
195,3.0,3.0
651,,0.0
1229,2.0,-2.0
1965,3.0,3.0
487,2.0,0.0
3645,5.0,0.0
53,,
145,5.0,
3462,5.0,0.0
3713,,2.0
3293,,2.0
450,,0.0
323,5.0,1.0
1815,,3.0
3079,4.0,-2.0
555,5.0,0.0
786,,2.0
175,,3.0
3778,,-1.0
1196,,3.0
1,4.0,0.0
3272,1.0,2.0
3920,5.0,3.0
3242,2.0,
1477,4.0,0.0
1085,5.0,-2.0
3831,3.0,
3818,3.0,3.0
258,2.0,1.0
3384,3.0,1.0
3392,0.0,0.0
1403,,2.0
1271,1.0,0.0
33,1.0,-1.0
1796,3.0,2.0
3414,,3.0
15,4.0,1.0
94,2.0,0.0
3859,1.0,0.0
322,1.0,-3.0
150,,2.0
3229,5.0,-1.0
880,,2.0
3222,,
3104,2.0,-1.0
1814,4.0,3.0
3887,,3.0
1222,5.0,3.0
1753,4.0,0.0
3855,5.0,3.0
451,,0.0
3001,,3.0
1870,,
1136,4.0,
529,5.0,1.0
799,1.0,0.0
371,1.0,
643,1.0,-1.0
479,,
573,3.0,0.0
1042,5.0,0.0
1588,,
1287,5.0,1.0
3382,,0.0
3365,,0.0
1197,5.0,0.0
2000,4.0,1.0
433,,2.0
762,2.0,
3115,1.0,
1972,2.0,3.0
599,2.0,0.0
595,2.0,
3407,2.0,
846,5.0,-3.0
3070,2.0,3.0
344,3.0,0.0
1072,5.0,-1.0
185,4.0,
212,,
3884,2.0,
603,5.0,
46,5.0,3.0
3119,5.0,0.0
3466,,
252,3.0,0.0
415,1.0,0.0
683,,-2.0
440,3.0,-1.0
1299,3.0,0.0
3658,1.0,0.0
1892,2.0,
3434,5.0,-3.0
1865,3.0,0.0
204,2.0,0.0
3906,1.0,-1.0
3160,4.0,0.0
1499,2.0,
315,,
1262,4.0,2.0
3489,,2.0
868,1.0,
3626,2.0,-1.0
681,2.0,0.0
3307,,0.0
1254,,0.0
1406,3.0,
3561,2.0,0.0
1476,,-1.0
496,3.0,0.0
3639,4.0,-3.0
176,3.0,0.0
638,5.0,1.0
3720,,3.0
2005,4.0,-1.0
1160,1.0,
1986,5.0,1.0
2014,,
671,1.0,1.0
1832,1.0,
1413,,2.0
3640,3.0,1.0
355,2.0,0.0
508,4.0,3.0
1324,2.0,3.0
1469,3.0,-3.0
197,,1.0
1954,,
171,2.0,
290,4.0,3.0
3776,1.0,0.0
89,5.0,2.0
694,5.0,0.0
1560,,-1.0
3459,,3.0
3151,,0.0
795,1.0,3.0
2038,4.0,2.0
3702,,0.0
652,4.0,3.0
3773,5.0,3.0
153,1.0,-2.0
267,,0.0
1955,5.0,
369,5.0,-2.0
1826,3.0,0.0
3726,2.0,
890,,0.0
1816,5.0,0.0
875,3.0,
696,2.0,0.0
3295,,0.0
1741,2.0,1.0
3613,3.0,0.0
904,3.0,0.0
3331,5.0,3.0
3991,4.0,
882,3.0,1.0
1128,4.0,0.0
3473,5.0,3.0
3077,,3.0
1270,1.0,
3832,5.0,2.0
68,5.0,-1.0
3243,3.0,-2.0
300,3.0,
444,2.0,2.0
818,1.0,0.0
135,,0.0
1989,,-3.0
257,2.0,0.0
1053,,
813,,3.0
472,4.0,0.0
1193,,0.0
3131,5.0,
3858,2.0,
3954,,-1.0
412,,
1554,5.0,0.0
1062,1.0,
125,3.0,0.0
3456,2.0,3.0
3783,1.0,0.0
719,,-2.0
434,,0.0
1365,5.0,1.0
1272,1.0,0.0
1033,5.0,
3595,1.0,0.0
679,5.0,0.0
3047,5.0,2.0
1451,1.0,3.0
1779,4.0,3.0
3497,,1.0
2023,,
3893,2.0,
1445,2.0,3.0
622,2.0,2.0
1371,5.0,-1.0
3586,,0.0
