row_type,display_order,spec,dv,dv_label,coef_type,coef,se,pvalue,value_num,value_str,fe_name
spec_label,1,pooled,,,,,,,,Pooled (weighted),
spec_label,2,with_fx,,,,,,,,Weighted + FX Controls,
spec_label,3,unweighted,,,,,,,,Unweighted,
fe_label,1,,,,,,,,,Survey Weights,weights
fe_label,2,,,,,,,,,FX Status Controls,fx_controls
coefficient,1,pooled,supports_intervention,Supports Intervention,hungary,0.19413019098907586,0.12950947365406312,0.1338826664341413,,,
coefficient,1,with_fx,supports_intervention,Supports Intervention,hungary,0.17478475554218417,0.13030398260653678,0.17980308633310482,,,
coefficient,1,unweighted,supports_intervention,Supports Intervention,hungary,0.14490949477740325,0.12883890922304128,0.26070179237612323,,,
fe_indicator,1,pooled,,,,,,,,yes,weights
fe_indicator,2,pooled,,,,,,,,no,fx_controls
fe_indicator,1,with_fx,,,,,,,,yes,weights
fe_indicator,2,with_fx,,,,,,,,yes,fx_controls
fe_indicator,1,unweighted,,,,,,,,no,weights
fe_indicator,2,unweighted,,,,,,,,no,fx_controls
n,1,pooled,,,,,,,2036.0,,
n,2,with_fx,,,,,,,2035.0,,
n,3,unweighted,,,,,,,2036.0,,
years,1,pooled,,,,,,,,2015,
years,2,with_fx,,,,,,,,2015,
years,3,unweighted,,,,,,,,2015,
note,1,,,,,,,,,Logit coefficients on the Hungary treatment indicator (reference: control). Standard errors in parentheses.,
