row_type,display_order,spec,dv,dv_label,coef_type,coef,se,pvalue,value_num,value_str,fe_name
spec_label,1,pooled,,,,,,,,Pooled,
spec_label,2,by_year,,,,,,,,Year FE,
spec_label,3,by_year_region,,,,,,,,Year+Region FE,
coefficient,1,pooled,support_policy,Supports Policy,treat,0.150,0.042,0.0004,,,
coefficient,1,by_year,support_policy,Supports Policy,treat,0.128,0.039,0.0011,,,
coefficient,1,by_year_region,support_policy,Supports Policy,treat,0.104,0.037,0.0052,,,
coefficient,2,pooled,trust_gov,Trusts Government,treat,0.065,0.031,0.036,,,
coefficient,2,by_year,trust_gov,Trusts Government,treat,0.051,0.029,0.079,,,
coefficient,2,by_year_region,trust_gov,Trusts Government,treat,0.043,0.028,0.124,,,
fe_indicator,1,pooled,,,,,,,,no,year
fe_indicator,1,by_year,,,,,,,,yes,year
fe_indicator,1,by_year_region,,,,,,,,yes,year
fe_indicator,2,pooled,,,,,,,,no,region
fe_indicator,2,by_year,,,,,,,,no,region
fe_indicator,2,by_year_region,,,,,,,,yes,region
n,1,pooled,,,,,,,2500,,
n,2,by_year,,,,,,,2500,,
n,3,by_year_region,,,,,,,2500,,
years,1,pooled,,,,,,,,2000–2020,
years,2,by_year,,,,,,,,2000–2020,
years,3,by_year_region,,,,,,,,2000–2020,
note,1,,,,,,,,,Estimates are from OLS regressions of each row variable on the treatment indicator. Standard errors clustered at the individual level.,
