respondent_id,interview_date,treatment,govt_intervention,supports_intervention,fx_status,age,female,ed_level,urban_rural,survey_weight
1,2015-10-07,history,big,1.0,none,25,1,4,2,0.914893672836381
2,2015-10-07,cntrl,some,1.0,none,50,1,4,3,0.85796123133461
3,2015-10-07,Hungary,some,1.0,none,48,1,4,3,0.724470487543359
4,2015-10-07,info,some,1.0,none,81,1,1,3,1.33357916718645
5,2015-10-07,Hungary,some,1.0,none,61,1,2,1,0.686466841123477
6,2015-10-07,info,some,1.0,none,57,1,2,1,0.686466841123477
7,2015-10-07,cntrl,none,0.0,none,70,1,4,3,0.797062947189988
8,2015-10-07,Hungary,none,0.0,past,56,1,4,3,0.75369474164889
9,2015-10-07,cntrl,some,1.0,none,44,1,4,2,0.776249819470557
10,2015-10-08,cntrl,none,0.0,none,66,1,2,3,0.85523198564313
11,2015-10-08,history,some,1.0,none,74,0,2,3,0.779270907327552
12,2015-10-08,info,none,0.0,none,35,0,2,3,0.924748817457248
13,2015-10-08,info,big,1.0,none,34,0,4,3,1.39506827425596
14,2015-10-08,cntrl,big,1.0,none,79,1,1,1,1.14206333508728
15,2015-10-08,cntrl,big,1.0,none,62,0,2,1,0.653744499939362
16,2015-10-08,history,big,1.0,none,62,1,1,1,0.883709100290973
17,2015-10-08,info,none,0.0,none,45,0,2,1,0.740429276810364
18,2015-10-08,history,some,1.0,none,58,0,2,3,0.747072503229124
19,2015-10-08,info,big,1.0,none,31,1,4,1,1.34752075553564
20,2015-10-08,info,some,1.0,none,72,0,4,3,0.678729821058091
21,2015-10-08,history,DK,0.0,none,41,1,3,3,1.1450112239754
22,2015-10-08,history,big,1.0,none,24,1,4,1,0.562192202652259
23,2015-10-08,info,some,1.0,none,59,1,3,2,0.763298167452057
24,2015-10-08,info,big,1.0,none,75,0,2,2,0.996380365317924
25,2015-10-08,cntrl,none,0.0,none,35,1,2,1,0.598887963855451
26,2015-10-08,history,some,1.0,none,21,1,3,1,0.684043411549415
27,2015-10-08,history,DK,0.0,none,51,1,3,2,0.789477135831935
28,2015-10-08,cntrl,none,0.0,none,56,0,2,2,0.632755692508982
29,2015-10-08,info,none,0.0,none,59,0,1,2,1.1206049422012
30,2015-10-08,history,some,1.0,none,35,1,2,2,1.45680656451636
31,2015-10-08,history,DK,0.0,none,71,1,1,2,1.02734445392603
32,2015-10-08,Hungary,none,0.0,none,50,0,2,1,1.49248584323862
33,2015-10-08,info,some,1.0,none,47,1,2,1,1.01815777645895
34,2015-10-08,Hungary,some,1.0,none,69,1,4,1,0.699157332061297
35,2015-10-08,cntrl,DK,0.0,none,65,1,3,2,1.23734556693174
36,2015-10-08,cntrl,DK,0.0,none,21,0,1,2,2.54022117022307
37,2015-10-08,Hungary,none,0.0,none,78,0,4,2,1.42733066003904
38,2015-10-08,cntrl,big,1.0,none,60,0,2,3,0.736870766911637
39,2015-10-08,history,big,1.0,none,38,1,2,3,0.964158449929868
40,2015-10-08,history,big,1.0,none,51,0,2,3,0.745568216388763
41,2015-10-08,cntrl,none,0.0,none,31,1,2,3,1.55265813670336
42,2015-10-08,cntrl,DK,0.0,none,62,0,1,3,1.37860530925531
43,2015-10-08,info,none,0.0,current,42,0,4,2,0.926789047463964
44,2015-10-08,history,some,1.0,none,62,1,1,2,1.13173400082585
