"country","ID","countr","age_group","gender_bin","education","manipulation_check2","party","party2","education_bin","policy_ai_offshoregr_1","policy_ai_offshoregr_2","policy_ai_offshoregr_3","policy_ai_offshoregr_4","policy_ai_offshoregr_5","policy_ai_offshoregr_6","tables_policygr_1","tables_policygr_2","tables_policygr_3","tables_policygr_4","tables_policygr_5","tables_policygr_6","treat_offshoring","qtable_1","qtable_2","qtable_3","qtable_4","price_after_1","price_after_2","price_after_3","price_after_4","cs_after_1","cs_after_2","cs_after_3","cs_after_4","factory_after_1","factory_after_2","factory_after_3","factory_after_4","ds_after_1","ds_after_2","ds_after_3","ds_after_4","income","GeoPC_Region1","region","gender"
1,1,"US","45 to 64","Woman","HS or less","Fail","Democratic","Democratic","No college",5,3,NA,3,5,5,NA,5,5,3,5,5,"Offshoring",4,5,5,4,"Unchanged at 600$","Unchanged at 600$","Decreases to 300$","Decreases to 300$","Unchanged at 100","Increase to 125","Increase to 125","Decrease to 75","Increase to 500","Unchanged at 400","Increase to 500","Increase to 500","Unchanged at 200","Unchanged at 200","Unchanged at 200","Increase to 250","Low",NA,3,"Woman"
1,2,"US","18 to 29","Man","Some college","Pass","Other","Democratic","No college",4,4,4,2,NA,4,4,4,4,2,3,4,"Offshoring",4,NA,4,NA,"Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Decreases to 450$","Increase to 125","Decrease to 75","Unchanged at 100","Increase to 125","Unchanged at 400","Decrease to 300","Increase to 500","Decrease to 300","Unchanged at 200","Unchanged at 200","Unchanged at 200","Decrease to 150","Middle",NA,3,"Man"
1,3,"US","18 to 29","Woman","Some college","Pass","Other","Other","No college",NA,3,4,3,NA,3,3,3,NA,NA,NA,NA,"Offshoring",3,NA,4,5,"Unchanged at 600$","Decreases to 300$","Decreases to 450$","Decreases to 450$","Unchanged at 100","Unchanged at 100","Unchanged at 100","Increase to 125","Decrease to 300","Increase to 500","Increase to 500","Decrease to 300","Unchanged at 200","Decrease to 150","Decrease to 150","Decrease to 150","Middle",NA,2,"Woman"
1,4,"US","45 to 64","Man","HS or less","Pass","Republican","Republican","No college",2,2,4,5,2,4,1,1,4,4,4,4,"AI",2,4,4,2,"Unchanged at 600$","Decreases to 450$","Unchanged at 600$","Unchanged at 600$","Unchanged at 100","Increase to 125","Unchanged at 100","Decrease to 75","Decrease to 300","Unchanged at 400","Increase to 500","Decrease to 300","Decrease to 150","Decrease to 150","Increase to 250","Increase to 250","Middle",NA,3,"Man"
1,5,"US","45 to 64","Man","Postgrad","Pass","Democratic","Democratic","College",5,5,5,3,4,5,5,4,5,2,3,5,"Offshoring",2,2,2,2,"Decreases to 450$","Decreases to 300$","Decreases to 450$","Decreases to 300$","Unchanged at 100","Increase to 125","Increase to 125","Decrease to 75","Unchanged at 400","Unchanged at 400","Decrease to 300","Decrease to 300","Increase to 250","Increase to 250","Unchanged at 200","Unchanged at 200","High",NA,4,"Man"
1,6,"US","45 to 64","Woman","College grad","Pass","Republican","Republican","College",1,1,4,2,3,4,1,1,5,5,2,5,"Offshoring",2,2,2,2,"Unchanged at 600$","Unchanged at 600$","Unchanged at 600$","Decreases to 300$","Decrease to 75","Unchanged at 100","Decrease to 75","Increase to 125","Increase to 500","Decrease to 300","Unchanged at 400","Increase to 500","Unchanged at 200","Decrease to 150","Decrease to 150","Increase to 250","Middle",NA,2,"Woman"
1,7,"US","45 to 64",NA,"Postgrad","Pass","Other","Other","College",1,1,4,5,4,3,1,1,5,4,3,3,"AI",1,1,5,2,"Unchanged at 600$","Decreases to 300$","Decreases to 300$","Decreases to 450$","Unchanged at 100","Increase to 125","Decrease to 75","Unchanged at 100","Unchanged at 400","Increase to 500","Decrease to 300","Unchanged at 400","Increase to 250","Increase to 250","Decrease to 150","Unchanged at 200","High",NA,3,"Other"
1,8,"US","45 to 64","Man","HS or less","Pass","Republican","Republican","No college",5,5,5,5,3,5,5,5,4,5,3,4,"AI",4,5,3,2,"Decreases to 300$","Decreases to 450$","Unchanged at 600$","Decreases to 450$","Increase to 125","Unchanged at 100","Unchanged at 100","Decrease to 75","Increase to 500","Unchanged at 400","Increase to 500","Unchanged at 400","Unchanged at 200","Decrease to 150","Increase to 250","Decrease to 150","Middle",NA,2,"Man"
1,9,"US","30 to 44","Man","HS or less","Pass","Other","Republican","No college",4,4,3,4,4,4,3,3,3,4,3,4,"AI",3,3,3,3,"Decreases to 300$","Decreases to 450$","Decreases to 300$","Decreases to 300$","Decrease to 75","Decrease to 75","Increase to 125","Decrease to 75","Unchanged at 400","Decrease to 300","Decrease to 300","Increase to 500","Unchanged at 200","Unchanged at 200","Increase to 250","Unchanged at 200","Middle",NA,1,"Man"
1,10,"US","65 or older","Man","HS or less","Fail","Democratic","Democratic","No college",4,3,4,3,3,3,3,3,3,3,3,3,"Offshoring",2,3,3,2,"Decreases to 450$","Unchanged at 600$","Decreases to 300$","Decreases to 450$","Increase to 125","Unchanged at 100","Increase to 125","Unchanged at 100","Unchanged at 400","Increase to 500","Unchanged at 400","Decrease to 300","Increase to 250","Unchanged at 200","Increase to 250","Increase to 250","Middle",NA,2,"Man"
