respondent_id,interview_date,treatment,govt_intervention,supports_intervention,fx_status,age,female,ed_level,urban_rural,survey_weight,income_quintile,left_right
1,2015-10-07,history,big,1.0,none,25,1,4,2,0.914893672836381,4.0,0.0
2,2015-10-07,cntrl,some,1.0,none,50,1,4,3,0.85796123133461,5.0,3.0
3,2015-10-07,Hungary,some,1.0,none,48,1,4,3,0.724470487543359,1.0,1.0
4,2015-10-07,info,some,1.0,none,81,1,1,3,1.33357916718645,5.0,2.0
5,2015-10-07,Hungary,some,1.0,none,61,1,2,1,0.686466841123477,1.0,
6,2015-10-07,info,some,1.0,none,57,1,2,1,0.686466841123477,,0.0
7,2015-10-07,cntrl,none,0.0,none,70,1,4,3,0.797062947189988,5.0,1.0
8,2015-10-07,Hungary,none,0.0,past,56,1,4,3,0.75369474164889,5.0,-1.0
9,2015-10-07,cntrl,some,1.0,none,44,1,4,2,0.776249819470557,3.0,0.0
10,2015-10-08,cntrl,none,0.0,none,66,1,2,3,0.85523198564313,,0.0
11,2015-10-08,history,some,1.0,none,74,0,2,3,0.779270907327552,4.0,1.0
12,2015-10-08,info,none,0.0,none,35,0,2,3,0.924748817457248,1.0,0.0
13,2015-10-08,info,big,1.0,none,34,0,4,3,1.39506827425596,,0.0
14,2015-10-08,cntrl,big,1.0,none,79,1,1,1,1.14206333508728,2.0,
15,2015-10-08,cntrl,big,1.0,none,62,0,2,1,0.653744499939362,4.0,1.0
16,2015-10-08,history,big,1.0,none,62,1,1,1,0.883709100290973,1.0,-2.0
17,2015-10-08,info,none,0.0,none,45,0,2,1,0.740429276810364,3.0,1.0
18,2015-10-08,history,some,1.0,none,58,0,2,3,0.747072503229124,5.0,
19,2015-10-08,info,big,1.0,none,31,1,4,1,1.34752075553564,2.0,0.0
20,2015-10-08,info,some,1.0,none,72,0,4,3,0.678729821058091,,
21,2015-10-08,history,DK,0.0,none,41,1,3,3,1.1450112239754,,
22,2015-10-08,history,big,1.0,none,24,1,4,1,0.562192202652259,1.0,
23,2015-10-08,info,some,1.0,none,59,1,3,2,0.763298167452057,5.0,0.0
24,2015-10-08,info,big,1.0,none,75,0,2,2,0.996380365317924,4.0,0.0
